age_group,gender,ethnicity,insurance,Group Size,Observed Mortality Rate,Avg Predicted Risk (Full Model)
<=49,M,WHITE - RUSSIAN,OTHER,0,,
<=49,M,WHITE - RUSSIAN,Other,0,,
<=49,M,WHITE - RUSSIAN,UNKNOWN,0,,
50-64,F,ASIAN,Medicare,0,,
50-64,F,ASIAN,OTHER,0,,
50-64,F,ASIAN,UNKNOWN,0,,
50-64,F,ASIAN - CHINESE,OTHER,0,,
50-64,F,ASIAN - CHINESE,Other,0,,
50-64,F,ASIAN - CHINESE,UNKNOWN,0,,
50-64,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
50-64,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
50-64,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
50-64,F,OTHER,OTHER,0,,
50-64,F,UNABLE TO OBTAIN,OTHER,0,,
50-64,F,UNABLE TO OBTAIN,Other,0,,
50-64,F,UNKNOWN,OTHER,0,,
50-64,F,WHITE,OTHER,0,,
50-64,F,WHITE - OTHER EUROPEAN,OTHER,0,,
50-64,F,WHITE - OTHER EUROPEAN,UNKNOWN,0,,
50-64,F,WHITE - RUSSIAN,OTHER,0,,
50-64,F,WHITE - RUSSIAN,Other,0,,
50-64,F,WHITE - RUSSIAN,UNKNOWN,0,,
50-64,M,ASIAN,OTHER,0,,
50-64,M,ASIAN - CHINESE,OTHER,0,,
50-64,M,ASIAN - CHINESE,UNKNOWN,0,,
50-64,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
50-64,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
50-64,M,OTHER,OTHER,0,,
50-64,M,UNABLE TO OBTAIN,OTHER,0,,
50-64,M,UNKNOWN,OTHER,0,,
50-64,M,WHITE,OTHER,0,,
50-64,M,WHITE - OTHER EUROPEAN,OTHER,0,,
50-64,M,WHITE - RUSSIAN,Medicare,0,,
50-64,M,WHITE - RUSSIAN,OTHER,0,,
50-64,M,WHITE - RUSSIAN,Other,0,,
65-79,F,ASIAN,OTHER,0,,
65-79,F,ASIAN,Other,0,,
65-79,F,ASIAN,UNKNOWN,0,,
65-79,F,ASIAN - CHINESE,OTHER,0,,
65-79,F,ASIAN - CHINESE,Other,0,,
65-79,F,ASIAN - CHINESE,UNKNOWN,0,,
65-79,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
65-79,F,BLACK/AFRICAN AMERICAN,UNKNOWN,0,,
65-79,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
65-79,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
65-79,F,OTHER,OTHER,0,,
65-79,F,UNABLE TO OBTAIN,OTHER,0,,
65-79,F,UNABLE TO OBTAIN,UNKNOWN,0,,
65-79,F,UNKNOWN,OTHER,0,,
65-79,F,WHITE - OTHER EUROPEAN,OTHER,0,,
65-79,F,WHITE - OTHER EUROPEAN,Other,0,,
65-79,F,WHITE - RUSSIAN,OTHER,0,,
65-79,F,WHITE - RUSSIAN,Other,0,,
65-79,F,WHITE - RUSSIAN,UNKNOWN,0,,
65-79,M,ASIAN,OTHER,0,,
65-79,M,ASIAN,Other,0,,
65-79,M,ASIAN - CHINESE,OTHER,0,,
65-79,M,ASIAN - CHINESE,UNKNOWN,0,,
65-79,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
65-79,M,BLACK/AFRICAN AMERICAN,UNKNOWN,0,,
65-79,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
65-79,M,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
65-79,M,OTHER,OTHER,0,,
65-79,M,UNABLE TO OBTAIN,OTHER,0,,
65-79,M,UNKNOWN,OTHER,0,,
65-79,M,WHITE,OTHER,0,,
65-79,M,WHITE - OTHER EUROPEAN,OTHER,0,,
65-79,M,WHITE - OTHER EUROPEAN,Other,0,,
65-79,M,WHITE - RUSSIAN,OTHER,0,,
65-79,M,WHITE - RUSSIAN,Other,0,,
65-79,M,WHITE - RUSSIAN,UNKNOWN,0,,
80+,F,ASIAN,OTHER,0,,
80+,F,ASIAN,Other,0,,
80+,F,ASIAN,Private,0,,
80+,F,ASIAN,UNKNOWN,0,,
80+,F,ASIAN - CHINESE,OTHER,0,,
80+,F,ASIAN - CHINESE,Other,0,,
80+,F,ASIAN - CHINESE,Private,0,,
80+,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,Other,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,Private,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
80+,F,OTHER,OTHER,0,,
80+,F,OTHER,Other,0,,
80+,F,UNABLE TO OBTAIN,Medicaid,0,,
80+,F,UNABLE TO OBTAIN,OTHER,0,,
80+,F,UNABLE TO OBTAIN,Other,0,,
80+,F,UNKNOWN,OTHER,0,,
80+,F,WHITE,OTHER,0,,
80+,F,WHITE - OTHER EUROPEAN,Medicaid,0,,
80+,F,WHITE - OTHER EUROPEAN,OTHER,0,,
80+,F,WHITE - OTHER EUROPEAN,Other,0,,
80+,F,WHITE - OTHER EUROPEAN,UNKNOWN,0,,
80+,F,WHITE - RUSSIAN,OTHER,0,,
80+,F,WHITE - RUSSIAN,Private,0,,
80+,F,WHITE - RUSSIAN,UNKNOWN,0,,
80+,M,ASIAN,OTHER,0,,
80+,M,ASIAN,Other,0,,
80+,M,ASIAN,Private,0,,
80+,M,ASIAN,UNKNOWN,0,,
80+,M,ASIAN - CHINESE,OTHER,0,,
80+,M,ASIAN - CHINESE,Other,0,,
80+,M,ASIAN - CHINESE,Private,0,,
80+,M,ASIAN - CHINESE,UNKNOWN,0,,
80+,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
80+,M,BLACK/AFRICAN AMERICAN,UNKNOWN,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,Other,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,Private,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
80+,M,OTHER,OTHER,0,,
80+,M,UNABLE TO OBTAIN,OTHER,0,,
80+,M,UNABLE TO OBTAIN,Other,0,,
80+,M,UNABLE TO OBTAIN,Private,0,,
80+,M,UNKNOWN,OTHER,0,,
80+,M,WHITE,OTHER,0,,
80+,M,WHITE - OTHER EUROPEAN,Medicaid,0,,
80+,M,WHITE - OTHER EUROPEAN,OTHER,0,,
80+,M,WHITE - OTHER EUROPEAN,Other,0,,
80+,M,WHITE - RUSSIAN,OTHER,0,,
80+,M,WHITE - RUSSIAN,Other,0,,
80+,M,WHITE - RUSSIAN,Private,0,,
80+,M,WHITE - RUSSIAN,UNKNOWN,0,,
